site,n.plot,cod.sev,north,west,slope,aspect,elev.m,tran.size,transect,species,sp.name,origen,veg.cov,cov.50N,cov.50E,cov.50S,cov.50W,cov.140N,cov.140E,cov.140S,cov.140W
CM,34,L,-3877769,-7153627,28,156,1231,small,east,cwd,coarse woody debris,NA,40,93,82,89,91,89,79,90,89
CM,34,L,-3877769,-7153627,28,156,1231,small,east,bare.gr,bare ground,NA,5,93,82,89,91,89,79,90,89
CM,34,L,-3877769,-7153627,28,156,1231,small,south,rib.mag,Ribes magellanicum,native,1,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,not.alp,Nothofagus alpina,native,5,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,lac.ser,Lactuca serriola,exotic,2,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,cir.vul,Cirsium vulgare,exotic,2,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,not.dom,Nothofagus dombeyi,native,1,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,epi.sp,Epilobium sp,native,2,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,fwd,fine woody debris,NA,60,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,south,bare.gr,bare ground,NA,27,92,74,76,82,89,74,75,80
CM,34,L,-3877769,-7153627,28,156,1231,small,west,chu.sp,Chusquea sp,native,8,90,90,78,88,90,90,80,86
CM,34,L,-3877769,-7153627,28,156,1231,small,west,fwd,fine woody debris,NA,60,90,90,78,88,90,90,80,86
CM,34,L,-3877769,-7153627,28,156,1231,small,west,bare.gr,bare ground,NA,32,90,90,78,88,90,90,80,86
CM,35,L,-3875213,-7150235,26,352,1536,medium,north,chu.sp,Chusquea sp,native,50,90,94,90,93,86,91,90,94
CM,35,L,-3875213,-7150235,26,352,1536,medium,north,may.dis,Maytenus disticha,native,18,90,94,90,93,86,91,90,94
CM,35,L,-3875213,-7150235,26,352,1536,medium,north,als.aur,Alstroemeria aurea,native,2,90,94,90,93,86,91,90,94
CM,35,L,-3875213,-7150235,26,352,1536,medium,north,cwd,coarse woody debris,NA,30,90,94,90,93,86,91,90,94
CM,35,L,-3875213,-7150235,26,352,1536,medium,east,als.aur,Alstroemeria aurea,native,10,91,86,88,93,90,82,84,92
CM,35,L,-3875213,-7150235,26,352,1536,medium,east,chu.sp,Chusquea sp,native,20,91,86,88,93,90,82,84,92
CM,35,L,-3875213,-7150235,26,352,1536,medium,east,myo.obl,Myoschilos oblongum,native,5,91,86,88,93,90,82,84,92
CM,35,L,-3875213,-7150235,26,352,1536,medium,east,not.pum,Nothofagus pumilio,native,25,91,86,88,93,90,82,84,92
CM,35,L,-3875213,-7150235,26,352,1536,medium,east,cwd,coarse woody debris,NA,40,91,86,88,93,90,82,84,92
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,chu.sp,Chusquea sp,native,20,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,als.aur,Alstroemeria aurea,native,10,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,osm.chi,Osmorhiza chilensis,native,2,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,rib.mag,Ribes magellanicum,native,3,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,car.bre,Carex brevicaulis,native,5,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,south,cwd,coarse woody debris,NA,60,91,68,82,91,87,65,80,90
CM,35,L,-3875213,-7150235,26,352,1536,medium,west,rib.mag,Ribes magellanicum,native,5,95,95,89,93,92,95,88,88
CM,35,L,-3875213,-7150235,26,352,1536,medium,west,not.pum,Nothofagus pumilio,native,15,95,95,89,93,92,95,88,88
CM,35,L,-3875213,-7150235,26,352,1536,medium,west,chu.sp,Chusquea sp,native,35,95,95,89,93,92,95,88,88
CM,35,L,-3875213,-7150235,26,352,1536,medium,west,als.aur,Alstroemeria aurea,native,5,95,95,89,93,92,95,88,88
CM,35,L,-3875213,-7150235,26,352,1536,medium,west,cwd,coarse woody debris,NA,40,95,95,89,93,92,95,88,88
CM,36,L,-3876641,-7152293,12,284,1594,medium,north,als.aur,Alstroemeria aurea,native,30,72,83,84,92,71,80,83,93
CM,36,L,-3876641,-7152293,12,284,1594,medium,north,may.dis,Maytenus disticha,native,8,72,83,84,92,71,80,83,93
CM,36,L,-3876641,-7152293,12,284,1594,medium,north,ber.mic,Berberis microphylla,native,7,72,83,84,92,71,80,83,93
CM,36,L,-3876641,-7152293,12,284,1594,medium,north,bare.gr,bare ground,NA,55,72,83,84,92,71,80,83,93
CM,36,L,-3876641,-7152293,12,284,1594,medium,east,als.aur,Alstroemeria aurea,native,10,75,82,60,64,72,79,56,63
CM,36,L,-3876641,-7152293,12,284,1594,medium,east,rib.mag,Ribes magellanicum,native,2,75,82,60,64,72,79,56,63
CM,36,L,-3876641,-7152293,12,284,1594,medium,east,ber.mic,Berberis microphylla,native,2,75,82,60,64,72,79,56,63
CM,36,L,-3876641,-7152293,12,284,1594,medium,east,cwd,coarse woody debris,NA,51,75,82,60,64,72,79,56,63
CM,36,L,-3876641,-7152293,12,284,1594,medium,east,bare.gr,bare ground,NA,35,75,82,60,64,72,79,56,63
CM,36,L,-3876641,-7152293,12,284,1594,medium,south,rum.ace,Rumex acetosella,exotic,85,26,50,75,54,23,50,72,37
CM,36,L,-3876641,-7152293,12,284,1594,medium,south,bare.gr,bare ground,NA,15,26,50,75,54,23,50,72,37
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,rib.den,Ribes densiflorum,native,2,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,aca.pin,Acaena pinnatifida,native,1,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,ber.mic,Berberis microphylla,native,2,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,not.pum,Nothofagus pumilio,native,20,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,als.aur,Alstroemeria aurea,native,6,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,bare.gr,bare ground,NA,30,92,92,75,73,92,91,74,73
CM,36,L,-3876641,-7152293,12,284,1594,medium,west,fwd,fine woody debris,NA,40,92,92,75,73,92,91,74,73
CM,37,L,-3876889,-7149835,26,256,1550,large,north,chu.sp,Chusquea sp,native,30,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,north,vic.nig,Vicia nigricans,native,20,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,north,als.aur,Alstroemeria aurea,native,21,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,north,rib.den,Ribes densiflorum,native,2,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,north,myo.obl,Myoschilos oblongum,native,2,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,north,fwd,fine woody debris,NA,25,47,70,45,33,45,65,47,31
CM,37,L,-3876889,-7149835,26,256,1550,large,east,dri.and,Drimys andina,native,40,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,east,chu.sp,Chusquea sp,native,35,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,east,vic.nig,Vicia nigricans,native,15,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,east,ber.mic,Berberis microphylla,native,3,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,east,vio.rei,Viola reichei,native,2,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,east,myo.obl,Myoschilos oblongum,native,5,90,86,47,61,56,54,49,57
CM,37,L,-3876889,-7149835,26,256,1550,large,south,rib.mag,Ribes magellanicum,native,50,56,67,26,46,56,63,24,50
CM,37,L,-3876889,-7149835,26,256,1550,large,south,als.aur,Alstroemeria aurea,native,15,56,67,26,46,56,63,24,50
CM,37,L,-3876889,-7149835,26,256,1550,large,south,vic.nig,Vicia nigricans,native,5,56,67,26,46,56,63,24,50
CM,37,L,-3876889,-7149835,26,256,1550,large,south,fwd,fine woody debris,NA,30,56,67,26,46,56,63,24,50
CM,37,L,-3876889,-7149835,26,256,1550,large,west,dri.and,Drimys andina,native,13,92,82,71,82,80,81,59,53
CM,37,L,-3876889,-7149835,26,256,1550,large,west,chu.sp,Chusquea sp,native,60,92,82,71,82,80,81,59,53
CM,37,L,-3876889,-7149835,26,256,1550,large,west,als.aur,Alstroemeria aurea,native,15,92,82,71,82,80,81,59,53
CM,37,L,-3876889,-7149835,26,256,1550,large,west,vic.nig,Vicia nigricans,native,10,92,82,71,82,80,81,59,53
CM,37,L,-3876889,-7149835,26,256,1550,large,west,myo.obl,Myoschilos oblongum,native,2,92,82,71,82,80,81,59,53
CM,38,L,-3878637,-7152331,22,20,1150,large,north,cal.val,Calceolaria valdiviana,native,2,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,osm.chi,Osmorhiza chilensis,native,3,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,epi.sp,Epilobium sp,native,2,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,agr.cap,Agrostis capillaris,exotic,3,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,hyp.rad,Hypochaeris radicata,exotic,3,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,fes.sp,Festuca sp,native,20,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,north,bare.gr,bare ground,NA,67,77,73,81,78,77,70,79,73
CM,38,L,-3878637,-7152331,22,20,1150,large,east,als.aur,Alstroemeria aurea,native,18,73,71,78,85,77,64,80,82
CM,38,L,-3878637,-7152331,22,20,1150,large,east,oxa.val,Oxalis valdiviensis,native,14,73,71,78,85,77,64,80,82
CM,38,L,-3878637,-7152331,22,20,1150,large,east,rum.ace,Rumex acetosella,exotic,15,73,71,78,85,77,64,80,82
CM,38,L,-3878637,-7152331,22,20,1150,large,east,ger.cor,Geranium core-core,native,2,73,71,78,85,77,64,80,82
CM,38,L,-3878637,-7152331,22,20,1150,large,east,bare.gr,bare ground,NA,51,73,71,78,85,77,64,80,82
CM,38,L,-3878637,-7152331,22,20,1150,large,south,lat.sub,Lathyrus subandinus,native,2,81,84,76,69,76,78,77,72
CM,38,L,-3878637,-7152331,22,20,1150,large,south,car.hir,Cardamine hirsuta,exotic,8,81,84,76,69,76,78,77,72
CM,38,L,-3878637,-7152331,22,20,1150,large,south,not.obl,Nothofagus obliqua,native,45,81,84,76,69,76,78,77,72
CM,38,L,-3878637,-7152331,22,20,1150,large,south,oxa.val,Oxalis valdiviensis,native,5,81,84,76,69,76,78,77,72
CM,38,L,-3878637,-7152331,22,20,1150,large,south,bare.gr,bare ground,NA,40,81,84,76,69,76,78,77,72
CM,38,L,-3878637,-7152331,22,20,1150,large,west,oxa.val,Oxalis valdiviensis,native,5,53,77,80,81,48,78,75,81
CM,38,L,-3878637,-7152331,22,20,1150,large,west,fes.sp,Festuca sp,native,13,53,77,80,81,48,78,75,81
CM,38,L,-3878637,-7152331,22,20,1150,large,west,als.aur,Alstroemeria aurea,native,2,53,77,80,81,48,78,75,81
CM,38,L,-3878637,-7152331,22,20,1150,large,west,bare.gr,bare ground,NA,80,53,77,80,81,48,78,75,81
CM,39,L,-3874835,-7150907,16,60,1565,medium,north,als.aur,Alstroemeria aurea,native,30,87,86,82,80,82,85,85,83
CM,39,L,-3874835,-7150907,16,60,1565,medium,north,per.pre,Perezia prenanthoides,native,5,87,86,82,80,82,85,85,83
CM,39,L,-3874835,-7150907,16,60,1565,medium,north,chu.sp,Chusquea sp,native,4,87,86,82,80,82,85,85,83
CM,39,L,-3874835,-7150907,16,60,1565,medium,north,cwd,coarse woody debris,NA,60,87,86,82,80,82,85,85,83
CM,39,L,-3874835,-7150907,16,60,1565,medium,north,not.pum,Nothofagus pumilio,native,1,87,86,82,80,82,85,85,83
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,ber.ser,Berberis serratodentata,native,5,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,als.aur,Alstroemeria aurea,native,30,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,vic.nig,Vicia nigricans,native,7,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,vio.rei,Viola reichei,native,5,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,rib.mag,Ribes magellanicum,native,10,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,chu.sp,Chusquea sp,native,15,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,sen.pil,Senecio pilquensis,native,7,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,east,cwd,coarse woody debris,NA,21,88,80,81,89,85,78,78,87
CM,39,L,-3874835,-7150907,16,60,1565,medium,south,not.pum,Nothofagus pumilio,native,4,84,83,76,81,76,85,78,84
CM,39,L,-3874835,-7150907,16,60,1565,medium,south,als.aur,Alstroemeria aurea,native,3,84,83,76,81,76,85,78,84
CM,39,L,-3874835,-7150907,16,60,1565,medium,south,cwd,coarse woody debris,NA,93,84,83,76,81,76,85,78,84
CM,39,L,-3874835,-7150907,16,60,1565,medium,west,sen.pil,Senecio pilquensis,native,15,80,85,80,80,72,87,82,78
CM,39,L,-3874835,-7150907,16,60,1565,medium,west,not.pum,Nothofagus pumilio,native,35,80,85,80,80,72,87,82,78
CM,39,L,-3874835,-7150907,16,60,1565,medium,west,als.aur,Alstroemeria aurea,native,10,80,85,80,80,72,87,82,78
CM,39,L,-3874835,-7150907,16,60,1565,medium,west,chu.sp,Chusquea sp,native,5,80,85,80,80,72,87,82,78
CM,39,L,-3874835,-7150907,16,60,1565,medium,west,cwd,coarse woody debris,NA,35,80,85,80,80,72,87,82,78
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,not.pum,Nothofagus pumilio,native,1,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,als.aur,Alstroemeria aurea,native,35,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,chu.sp,Chusquea sp,native,20,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,rib.mag,Ribes magellanicum,native,5,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,vic.nig,Vicia nigricans,native,4,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,cwd,coarse woody debris,NA,30,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,north,ber.tri,Berberis trigona,native,5,81,72,83,82,75,65,81,81
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,ble.pen,Blechnum penna-marina,native,2,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,als.aur,Alstroemeria aurea,native,5,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,ber.ser,Berberis serratodentata,native,3,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,chu.sp,Chusquea sp,native,20,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,vic.nig,Vicia nigricans,native,15,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,aca.ova,Acaena ovalifolia,native,2,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,may.dis,Maytenus disticha,native,3,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,east,cwd,coarse woody debris,NA,50,75,28,74,77,73,27,74,76
CM,40,L,-3874268,-7151627,24,18,1586,medium,south,aca.ova,Acaena ovalifolia,native,35,81,87,81,83,84,83,78,82
CM,40,L,-3874268,-7151627,24,18,1586,medium,south,rib.mag,Ribes magellanicum,native,5,81,87,81,83,84,83,78,82
CM,40,L,-3874268,-7151627,24,18,1586,medium,south,als.aur,Alstroemeria aurea,native,15,81,87,81,83,84,83,78,82
CM,40,L,-3874268,-7151627,24,18,1586,medium,south,vic.nig,Vicia nigricans,native,30,81,87,81,83,84,83,78,82
CM,40,L,-3874268,-7151627,24,18,1586,medium,south,may.dis,Maytenus disticha,native,15,81,87,81,83,84,83,78,82
CM,40,L,-3874268,-7151627,24,18,1586,medium,west,als.aur,Alstroemeria aurea,native,20,81,78,93,80,84,77,90,61
CM,40,L,-3874268,-7151627,24,18,1586,medium,west,rib.mag,Ribes magellanicum,native,1,81,78,93,80,84,77,90,61
CM,40,L,-3874268,-7151627,24,18,1586,medium,west,chu.sp,Chusquea sp,native,15,81,78,93,80,84,77,90,61
CM,40,L,-3874268,-7151627,24,18,1586,medium,west,vic.nig,Vicia nigricans,native,4,81,78,93,80,84,77,90,61
CM,40,L,-3874268,-7151627,24,18,1586,medium,west,cwd,coarse woody debris,NA,60,81,78,93,80,84,77,90,61
CM,41,UN,-3875921,-7149667,6,338,1664,medium,north,may.dis,Maytenus disticha,native,70,93,89,92,93,92,86,90,92
CM,41,UN,-3875921,-7149667,6,338,1664,medium,north,not.pum,Nothofagus pumilio,native,15,93,89,92,93,92,86,90,92
CM,41,UN,-3875921,-7149667,6,338,1664,medium,north,bare.gr,bare ground,NA,10,93,89,92,93,92,86,90,92
CM,41,UN,-3875921,-7149667,6,338,1664,medium,north,cwd,coarse woody debris,NA,5,93,89,92,93,92,86,90,92
CM,41,UN,-3875921,-7149667,6,338,1664,medium,east,may.dis,Maytenus disticha,native,10,92,91,92,91,89,90,88,90
CM,41,UN,-3875921,-7149667,6,338,1664,medium,east,per.pre,Perezia prenanthoides,native,2,92,91,92,91,89,90,88,90
CM,41,UN,-3875921,-7149667,6,338,1664,medium,east,cwd,coarse woody debris,NA,88,92,91,92,91,89,90,88,90
CM,41,UN,-3875921,-7149667,6,338,1664,medium,south,osm.chi,Osmorhiza chilensis,native,8,91,89,92,91,91,86,92,89
CM,41,UN,-3875921,-7149667,6,338,1664,medium,south,not.pum,Nothofagus pumilio,native,5,91,89,92,91,91,86,92,89
CM,41,UN,-3875921,-7149667,6,338,1664,medium,south,may.dis,Maytenus disticha,native,3,91,89,92,91,91,86,92,89
CM,41,UN,-3875921,-7149667,6,338,1664,medium,south,per.pre,Perezia prenanthoides,native,4,91,89,92,91,91,86,92,89
CM,41,UN,-3875921,-7149667,6,338,1664,medium,south,bare.gr,bare ground,NA,80,91,89,92,91,91,86,92,89
CM,41,UN,-3875921,-7149667,6,338,1664,medium,west,per.pre,Perezia prenanthoides,native,7,94,92,88,93,94,90,89,93
CM,41,UN,-3875921,-7149667,6,338,1664,medium,west,chu.sp,Chusquea sp,native,3,94,92,88,93,94,90,89,93
CM,41,UN,-3875921,-7149667,6,338,1664,medium,west,may.dis,Maytenus disticha,native,10,94,92,88,93,94,90,89,93
CM,41,UN,-3875921,-7149667,6,338,1664,medium,west,bare.gr,bare ground,NA,80,94,92,88,93,94,90,89,93
CM,42,UN,-3873141,-7151175,14,284,1523,medium,north,chu.sp,Chusquea sp,native,70,88,94,92,68,89,94,91,73
CM,42,UN,-3873141,-7151175,14,284,1523,medium,north,may.dis,Maytenus disticha,native,5,88,94,92,68,89,94,91,73
CM,42,UN,-3873141,-7151175,14,284,1523,medium,north,not.pum,Nothofagus pumilio,native,20,88,94,92,68,89,94,91,73
CM,42,UN,-3873141,-7151175,14,284,1523,medium,north,als.aur,Alstroemeria aurea,native,3,88,94,92,68,89,94,91,73
CM,42,UN,-3873141,-7151175,14,284,1523,medium,north,ber.tri,Berberis trigona,native,2,88,94,92,68,89,94,91,73
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,ade.chi,Adenocaulon chilense,native,1,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,als.aur,Alstroemeria aurea,native,2,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,per.pre,Perezia prenanthoides,native,2,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,may.dis,Maytenus disticha,native,45,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,ber.mic,Berberis microphylla,native,20,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,rib.den,Ribes densiflorum,native,2,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,ara.ara,Araucaria araucana,native,1,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,myo.obl,Myoschilos oblongum,native,2,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,east,bare.gr,bare ground,NA,25,90,89,88,92,88,89,89,90
CM,42,UN,-3873141,-7151175,14,284,1523,medium,south,ade.chi,Adenocaulon chilense,native,1,92,91,93,93,93,93,93,94
CM,42,UN,-3873141,-7151175,14,284,1523,medium,south,may.dis,Maytenus disticha,native,10,92,91,93,93,93,93,93,94
CM,42,UN,-3873141,-7151175,14,284,1523,medium,south,not.pum,Nothofagus pumilio,native,30,92,91,93,93,93,93,93,94
CM,42,UN,-3873141,-7151175,14,284,1523,medium,south,ara.ara,Araucaria araucana,native,35,92,91,93,93,93,93,93,94
CM,42,UN,-3873141,-7151175,14,284,1523,medium,south,aza.alp,Azara alpina,native,24,92,91,93,93,93,93,93,94
CM,42,UN,-3873141,-7151175,14,284,1523,medium,west,may.dis,Maytenus disticha,native,80,68,89,92,68,62,92,93,66
CM,42,UN,-3873141,-7151175,14,284,1523,medium,west,als.aur,Alstroemeria aurea,native,10,68,89,92,68,62,92,93,66
CM,42,UN,-3873141,-7151175,14,284,1523,medium,west,vic.nig,Vicia nigricans,native,5,68,89,92,68,62,92,93,66
CM,42,UN,-3873141,-7151175,14,284,1523,medium,west,bare.gr,bare ground,NA,5,68,89,92,68,62,92,93,66
CM,43,UN,-3874590,-7150578,6,352,1511,large,north,als.aur,Alstroemeria aurea,native,35,94,94,94,92,93,93,93,92
CM,43,UN,-3874590,-7150578,6,352,1511,large,north,not.pum,Nothofagus pumilio,native,25,94,94,94,92,93,93,93,92
CM,43,UN,-3874590,-7150578,6,352,1511,large,north,chu.sp,Chusquea sp,native,35,94,94,94,92,93,93,93,92
CM,43,UN,-3874590,-7150578,6,352,1511,large,north,ber.ser,Berberis serratodentata,native,3,94,94,94,92,93,93,93,92
CM,43,UN,-3874590,-7150578,6,352,1511,large,north,vic.nig,Vicia nigricans,native,2,94,94,94,92,93,93,93,92
CM,43,UN,-3874590,-7150578,6,352,1511,large,east,ber.ser,Berberis serratodentata,native,5,94,94,94,94,94,93,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,east,chu.sp,Chusquea sp,native,50,94,94,94,94,94,93,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,east,may.dis,Maytenus disticha,native,10,94,94,94,94,94,93,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,east,als.aur,Alstroemeria aurea,native,5,94,94,94,94,94,93,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,east,bare.gr,bare ground,NA,30,94,94,94,94,94,93,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,south,may.dis,Maytenus disticha,native,35,89,95,93,95,92,94,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,south,chu.sp,Chusquea sp,native,50,89,95,93,95,92,94,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,south,als.aur,Alstroemeria aurea,native,15,89,95,93,95,92,94,94,94
CM,43,UN,-3874590,-7150578,6,352,1511,large,west,may.dis,Maytenus disticha,native,15,94,95,94,93,92,95,94,91
CM,43,UN,-3874590,-7150578,6,352,1511,large,west,ber.ser,Berberis serratodentata,native,5,94,95,94,93,92,95,94,91
CM,43,UN,-3874590,-7150578,6,352,1511,large,west,chu.sp,Chusquea sp,native,60,94,95,94,93,92,95,94,91
CM,43,UN,-3874590,-7150578,6,352,1511,large,west,not.pum,Nothofagus pumilio,native,20,94,95,94,93,92,95,94,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,north,may.dis,Maytenus disticha,native,45,89,88,92,87,92,89,88,88
CM,44,UN,-3873315,-7151625,10,138,1500,medium,north,not.pum,Nothofagus pumilio,native,50,89,88,92,87,92,89,88,88
CM,44,UN,-3873315,-7151625,10,138,1500,medium,north,rib.den,Ribes densiflorum,native,5,89,88,92,87,92,89,88,88
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,may.dis,Maytenus disticha,native,15,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,ara.ara,Araucaria araucana,native,15,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,ade.chi,Adenocaulon chilense,native,3,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,not.pum,Nothofagus pumilio,native,60,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,per.pre,Perezia prenanthoides,native,3,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,east,rib.den,Ribes densiflorum,native,4,89,86,88,93,89,87,91,91
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,may.dis,Maytenus disticha,native,10,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,gau.poe,Gaultheria poeppigii,native,60,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,als.aur,Alstroemeria aurea,native,5,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,car.bre,Carex brevicaulis,native,3,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,per.pre,Perezia prenanthoides,native,3,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,per.ped,Perezia pedicularifolia,native,3,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,ara.ara,Araucaria araucana,native,8,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,chl.sp,Orquidea,native,3,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,south,ade.chi,Adenocaulon chilense,native,5,85,83,86,76,85,82,82,78
CM,44,UN,-3873315,-7151625,10,138,1500,medium,west,sen.pil,Senecio pilquensis,native,5,70,85,83,71,74,82,80,71
CM,44,UN,-3873315,-7151625,10,138,1500,medium,west,als.aur,Alstroemeria aurea,native,5,70,85,83,71,74,82,80,71
CM,44,UN,-3873315,-7151625,10,138,1500,medium,west,may.dis,Maytenus disticha,native,35,70,85,83,71,74,82,80,71
CM,44,UN,-3873315,-7151625,10,138,1500,medium,west,not.pum,Nothofagus pumilio,native,53,70,85,83,71,74,82,80,71
